"Codgeo";"ZInter_fact40_50000"
"01001";"Reg_I7_10"
"01002";"Reg_I7_13"
"01004";"Reg_84_57"
"01005";"Reg_I7_10"
"01006";"Reg_84_57"
"01007";"Reg_84_81"
"01008";"Reg_84_57"
"01009";"Reg_84_11"
"01010";"Reg_84_53"
"01011";"Reg_I7_13"
"01012";"Reg_I7_13"
"01013";"Reg_84_57"
"01014";"Reg_I7_13"
"01015";"Reg_84_11"
"01016";"Reg_I7_8"
"01017";"Reg_84_57"
"01019";"Reg_84_11"
"01021";"Reg_I7_10"
"01022";"Reg_84_11"
"01023";"Reg_I7_8"
"01024";"Reg_I7_8"
"01025";"Reg_I7_8"
"01026";"Reg_I7_8"
"01027";"Reg_I7_10"
"01028";"Reg_I7_10"
"01029";"Reg_I7_8"
"01030";"Reg_84_34"
"01031";"Reg_I7_13"
"01032";"Reg_I7_10"
"01033";"Reg_I7_3"
"01034";"Reg_84_11"
"01035";"Reg_I7_13"
"01036";"Reg_84_11"
"01037";"Reg_84_57"
"01038";"Reg_I7_8"
"01039";"Reg_84_11"
"01040";"Reg_I7_8"
"01041";"Reg_84_57"
"01042";"Reg_I7_10"
"01043";"Reg_84_77"
"01044";"Reg_84_53"
"01045";"Reg_I7_10"
"01046";"Reg_I7_8"
"01047";"Reg_84_57"
"01049";"Reg_84_77"
"01050";"Reg_I7_8"
"01051";"Reg_84_81"
"01052";"Reg_I7_10"
"01053";"Reg_84_48"
"01054";"Reg_I7_10"
"01056";"Reg_I7_13"
"01057";"Reg_I7_8"
"01058";"Reg_84_11"
"01059";"Reg_84_53"
"01060";"Reg_I7_13"
"01061";"Reg_84_11"
"01062";"Reg_I7_10"
"01063";"Reg_I7_13"
"01064";"Reg_84_57"
"01065";"Reg_84_48"
"01066";"Reg_84_11"
"01067";"Reg_I7_13"
"01068";"Reg_I7_13"
"01069";"Reg_84_48"
"01071";"Reg_I7_6"
"01072";"Reg_I7_8"
"01073";"Reg_84_11"
"01074";"Reg_84_81"
"01075";"Reg_I7_10"
"01076";"Reg_I7_13"
"01077";"Reg_I7_13"
"01078";"Reg_I7_3"
"01079";"Reg_84_11"
"01080";"Reg_I7_13"
"01081";"Reg_I7_13"
"01082";"Reg_84_53"
"01083";"Reg_I7_10"
"01084";"Reg_I7_10"
"01085";"Reg_I7_10"
"01087";"Reg_I7_13"
"01088";"Reg_84_77"
"01089";"Reg_84_81"
"01090";"Reg_84_81"
"01091";"Reg_I7_3"
"01092";"Reg_84_81"
"01093";"Reg_I7_10"
"01094";"Reg_I7_8"
"01095";"Reg_I7_8"
"01096";"Reg_84_81"
"01097";"Reg_84_11"
"01098";"Reg_84_11"
"01099";"Reg_84_57"
"01100";"Reg_84_11"
"01101";"Reg_I7_13"
"01102";"Reg_I7_8"
"01103";"Reg_I7_6"
"01104";"Reg_I7_13"
"01105";"Reg_I7_10"
"01106";"Reg_84_81"
"01107";"Reg_84_57"
"01108";"Reg_I7_7"
"01109";"Reg_I7_3"
"01110";"Reg_84_11"
"01111";"Reg_84_57"
"01112";"Reg_I7_13"
"01113";"Reg_I7_10"
"01114";"Reg_I7_3"
"01115";"Reg_I7_8"
"01116";"Reg_84_11"
"01117";"Reg_84_11"
"01118";"Reg_84_53"
"01121";"Reg_I7_13"
"01122";"Reg_84_11"
"01123";"Reg_I7_10"
"01124";"Reg_I7_8"
"01125";"Reg_I7_8"
"01127";"Reg_I7_7"
"01128";"Reg_I7_8"
"01129";"Reg_84_81"
"01130";"Reg_I7_8"
"01133";"Reg_84_11"
"01134";"Reg_I7_8"
"01135";"Reg_I7_6"
"01136";"Reg_I7_10"
"01138";"Reg_84_53"
"01139";"Reg_I7_7"
"01140";"Reg_I7_8"
"01141";"Reg_84_11"
"01142";"Reg_I7_10"
"01143";"Reg_I7_6"
"01144";"Reg_I7_8"
"01145";"Reg_84_81"
"01146";"Reg_I7_4"
"01147";"Reg_I7_7"
"01148";"Reg_I7_13"
"01149";"Reg_84_81"
"01150";"Reg_I7_8"
"01151";"Reg_84_81"
"01152";"Reg_I7_13"
"01153";"Reg_I7_6"
"01154";"Reg_I7_8"
"01155";"Reg_I7_13"
"01156";"Reg_I7_10"
"01157";"Reg_I7_10"
"01158";"Reg_I7_13"
"01159";"Reg_I7_8"
"01160";"Reg_I7_6"
"01162";"Reg_84_11"
"01163";"Reg_I7_8"
"01165";"Reg_I7_10"
"01166";"Reg_I7_10"
"01167";"Reg_I7_10"
"01169";"Reg_I7_4"
"01170";"Reg_I7_13"
"01171";"Reg_I7_13"
"01172";"Reg_I7_8"
"01173";"Reg_I7_6"
"01174";"Reg_I7_13"
"01175";"Reg_I7_8"
"01177";"Reg_84_81"
"01179";"Reg_I7_8"
"01180";"Reg_I7_6"
"01181";"Reg_I7_13"
"01183";"Reg_I7_4"
"01184";"Reg_84_81"
"01185";"Reg_I7_13"
"01186";"Reg_84_11"
"01187";"Reg_I7_13"
"01188";"Reg_I7_10"
"01189";"Reg_84_53"
"01190";"Reg_84_57"
"01191";"Reg_I7_13"
"01192";"Reg_I7_13"
"01193";"Reg_84_11"
"01194";"Reg_84_34"
"01195";"Reg_I7_8"
"01196";"Reg_I7_8"
"01197";"Reg_84_81"
"01198";"Reg_I7_10"
"01199";"Reg_84_81"
"01200";"Reg_I7_13"
"01202";"Reg_84_57"
"01203";"Reg_I7_8"
"01204";"Reg_I7_13"
"01205";"Reg_I7_3"
"01206";"Reg_I7_13"
"01207";"Reg_I7_10"
"01208";"Reg_84_11"
"01209";"Reg_I7_3"
"01210";"Reg_I7_16"
"01211";"Reg_84_81"
"01212";"Reg_I7_8"
"01213";"Reg_84_57"
"01214";"Reg_I7_13"
"01215";"Reg_84_53"
"01216";"Reg_84_57"
"01218";"Reg_84_53"
"01219";"Reg_84_57"
"01221";"Reg_84_11"
"01224";"Reg_84_57"
"01225";"Reg_I7_10"
"01227";"Reg_84_11"
"01228";"Reg_I7_13"
"01229";"Reg_I7_8"
"01230";"Reg_I7_8"
"01231";"Reg_I7_8"
"01232";"Reg_I7_8"
"01233";"Reg_84_57"
"01234";"Reg_84_11"
"01235";"Reg_84_81"
"01236";"Reg_I7_8"
"01237";"Reg_I7_13"
"01238";"Reg_84_35"
"01239";"Reg_84_11"
"01240";"Reg_I7_13"
"01241";"Reg_I7_8"
"01242";"Reg_I7_13"
"01243";"Reg_I7_10"
"01244";"Reg_I7_10"
"01245";"Reg_84_81"
"01246";"Reg_I7_8"
"01247";"Reg_I7_16"
"01248";"Reg_84_84"
"01249";"Reg_84_77"
"01250";"Reg_I7_10"
"01252";"Reg_I7_4"
"01254";"Reg_84_81"
"01255";"Reg_84_57"
"01257";"Reg_I7_3"
"01258";"Reg_I7_10"
"01259";"Reg_84_48"
"01260";"Reg_I7_10"
"01261";"Reg_I7_10"
"01262";"Reg_I7_10"
"01263";"Reg_I7_10"
"01264";"Reg_84_81"
"01265";"Reg_I7_13"
"01266";"Reg_I7_8"
"01267";"Reg_I7_13"
"01268";"Reg_84_11"
"01269";"Reg_I7_13"
"01272";"Reg_I7_10"
"01273";"Reg_84_81"
"01274";"Reg_I7_13"
"01275";"Reg_84_77"
"01276";"Reg_84_77"
"01277";"Reg_I7_13"
"01279";"Reg_I7_13"
"01280";"Reg_84_57"
"01281";"Reg_I7_6"
"01282";"Reg_I7_13"
"01283";"Reg_I7_13"
"01284";"Reg_I7_8"
"01285";"Reg_84_35"
"01286";"Reg_84_11"
"01288";"Reg_I7_3"
"01289";"Reg_84_48"
"01290";"Reg_I7_10"
"01291";"Reg_I7_8"
"01293";"Reg_I7_13"
"01294";"Reg_84_11"
"01295";"Reg_I7_4"
"01296";"Reg_I7_7"
"01297";"Reg_I7_10"
"01298";"Reg_I7_13"
"01299";"Reg_84_81"
"01301";"Reg_I7_8"
"01302";"Reg_84_11"
"01303";"Reg_I7_13"
"01304";"Reg_84_81"
"01305";"Reg_I7_8"
"01306";"Reg_I7_8"
"01307";"Reg_I7_13"
"01308";"Reg_I7_3"
"01309";"Reg_I7_7"
"01310";"Reg_84_11"
