"Codgeo";"ZInter_fact_40000"
"01244";"Reg_84_85"
"01245";"Reg_I7_17"
"01246";"Reg_I7_17"
"01247";"Reg_I7_19"
"01248";"Reg_84_94"
"01249";"Reg_84_83"
"01250";"Reg_I7_14"
"01252";"Reg_I7_9"
"01254";"Reg_I7_17"
"01255";"Reg_84_11"
"01257";"Reg_I7_3"
"01258";"Reg_I7_14"
"01259";"Reg_84_52"
"01260";"Reg_84_85"
"01261";"Reg_84_85"
"01262";"Reg_84_85"
"01263";"Reg_I7_14"
"01264";"Reg_84_86"
"01265";"Reg_I7_13"
"01266";"Reg_I7_17"
"01267";"Reg_I7_13"
"01268";"Reg_84_78"
"01269";"Reg_I7_13"
"01272";"Reg_I7_14"
"01273";"Reg_84_86"
"01274";"Reg_I7_13"
"01275";"Reg_84_83"
"01276";"Reg_84_83"
"01277";"Reg_I7_13"
"01279";"Reg_I7_13"
"01280";"Reg_84_11"
"01281";"Reg_I7_6"
"01282";"Reg_I7_13"
"01283";"Reg_I7_18"
"01284";"Reg_I7_4"
"01285";"Reg_84_36"
"01286";"Reg_84_78"
"01288";"Reg_I7_3"
"01289";"Reg_84_52"
"01290";"Reg_84_85"
"01291";"Reg_I7_4"
"01293";"Reg_I7_13"
"01294";"Reg_84_11"
"01295";"Reg_I7_9"
"01296";"Reg_I7_1"
"01297";"Reg_84_85"
"01298";"Reg_I7_18"
"01299";"Reg_84_86"
"01301";"Reg_I7_17"
"01302";"Reg_84_78"
"01303";"Reg_I7_13"
"01304";"Reg_84_86"
"01305";"Reg_I7_4"
"01306";"Reg_I7_4"
"01307";"Reg_I7_13"
"01308";"Reg_I7_3"
"01309";"Reg_I7_1"
"01310";"Reg_84_11"
"01311";"Reg_84_78"
"01313";"Reg_I7_6"
"01314";"Reg_84_86"
"01316";"Reg_84_78"
"01317";"Reg_I7_17"
"01318";"Reg_84_85"
"01319";"Reg_I7_14"
"01320";"Reg_I7_4"
"01321";"Reg_I7_17"
"01322";"Reg_84_36"
"01323";"Reg_I7_4"
"01325";"Reg_84_85"
"01328";"Reg_I7_14"
"01329";"Reg_84_78"
"01330";"Reg_I7_13"
"01331";"Reg_I7_13"
"01332";"Reg_I7_4"
"01333";"Reg_84_94"
"01334";"Reg_I7_14"
"01335";"Reg_I7_14"
"01336";"Reg_84_86"
"01337";"Reg_I7_4"
"01338";"Reg_84_11"
"01339";"Reg_84_36"
