"Codgeo";"ZInter_fact70_50000"
"01001";"Reg_I6_6"
"01002";"Reg_I6_14"
"01004";"Reg_84_57"
"01005";"Reg_I6_6"
"01006";"Reg_84_57"
"01007";"Reg_I6_14"
"01008";"Reg_84_57"
"01009";"Reg_84_11"
"01010";"Reg_84_53"
"01011";"Reg_I6_14"
"01012";"Reg_I6_14"
"01013";"Reg_84_57"
"01014";"Reg_I6_13"
"01015";"Reg_84_11"
"01016";"Reg_I6_7"
"01017";"Reg_84_57"
"01019";"Reg_84_11"
"01021";"Reg_I6_6"
"01022";"Reg_84_11"
"01023";"Reg_I6_7"
"01024";"Reg_I6_7"
"01025";"Reg_I6_7"
"01026";"Reg_I6_7"
"01027";"Reg_I6_6"
"01028";"Reg_I6_6"
"01029";"Reg_I6_7"
"01030";"Reg_84_34"
"01031";"Reg_I6_13"
"01032";"Reg_I6_6"
"01033";"Reg_I6_3"
"01034";"Reg_84_11"
"01035";"Reg_I6_13"
"01036";"Reg_84_11"
"01037";"Reg_84_57"
"01038";"Reg_I6_7"
"01039";"Reg_84_11"
"01040";"Reg_I6_7"
"01041";"Reg_84_57"
"01042";"Reg_I6_6"
"01043";"Reg_84_36"
"01044";"Reg_84_53"
"01045";"Reg_I6_6"
"01046";"Reg_I6_7"
"01047";"Reg_84_57"
"01049";"Reg_84_36"
"01050";"Reg_I6_7"
"01051";"Reg_I6_14"
"01052";"Reg_I6_6"
"01053";"Reg_84_48"
"01054";"Reg_I6_6"
"01056";"Reg_I6_14"
"01057";"Reg_I6_7"
"01058";"Reg_84_11"
"01059";"Reg_84_53"
"01060";"Reg_I6_14"
"01061";"Reg_84_11"
"01062";"Reg_I6_6"
"01063";"Reg_I6_14"
"01064";"Reg_84_57"
"01065";"Reg_84_48"
"01066";"Reg_84_11"
"01067";"Reg_I6_14"
"01068";"Reg_I6_14"
"01069";"Reg_84_48"
"01071";"Reg_I6_9"
"01072";"Reg_I6_7"
"01073";"Reg_84_11"
"01074";"Reg_I6_14"
"01075";"Reg_I6_6"
"01076";"Reg_I6_14"
"01077";"Reg_I6_14"
"01078";"Reg_I6_3"
"01079";"Reg_84_11"
"01080";"Reg_I6_14"
"01081";"Reg_I6_13"
"01082";"Reg_84_53"
"01083";"Reg_I6_6"
"01084";"Reg_I6_6"
"01085";"Reg_I6_6"
"01087";"Reg_I6_14"
"01088";"Reg_84_36"
"01089";"Reg_I6_14"
"01090";"Reg_I6_14"
"01091";"Reg_I6_3"
"01092";"Reg_I6_14"
"01093";"Reg_I6_6"
"01094";"Reg_I6_7"
"01095";"Reg_I6_14"
"01096";"Reg_I6_14"
"01097";"Reg_84_11"
"01098";"Reg_84_11"
"01099";"Reg_84_57"
"01100";"Reg_84_11"
"01101";"Reg_I6_14"
"01102";"Reg_I6_7"
"01103";"Reg_I6_9"
"01104";"Reg_I6_13"
"01105";"Reg_I6_6"
"01106";"Reg_I6_14"
"01107";"Reg_84_57"
"01108";"Reg_I6_4"
"01109";"Reg_I6_3"
"01110";"Reg_84_11"
"01111";"Reg_84_57"
"01112";"Reg_I6_14"
"01113";"Reg_I6_6"
"01114";"Reg_I6_3"
"01115";"Reg_I6_7"
"01116";"Reg_84_11"
"01117";"Reg_84_11"
"01118";"Reg_84_53"
"01121";"Reg_I6_14"
"01122";"Reg_84_11"
"01123";"Reg_I6_6"
"01124";"Reg_I6_7"
"01125";"Reg_I6_14"
"01127";"Reg_I6_4"
"01128";"Reg_I6_7"
"01129";"Reg_I6_14"
"01130";"Reg_I6_7"
"01133";"Reg_84_11"
"01134";"Reg_I6_7"
"01135";"Reg_I6_9"
"01136";"Reg_I6_6"
"01138";"Reg_84_53"
"01139";"Reg_I6_4"
"01140";"Reg_I6_7"
"01141";"Reg_84_11"
"01142";"Reg_I6_6"
"01143";"Reg_I6_9"
"01144";"Reg_I6_7"
"01145";"Reg_I6_14"
"01146";"Reg_I6_8"
"01147";"Reg_I6_4"
"01148";"Reg_I6_13"
"01149";"Reg_I6_14"
"01150";"Reg_I6_14"
"01151";"Reg_I6_14"
"01152";"Reg_I6_13"
"01153";"Reg_I6_9"
"01154";"Reg_I6_7"
