"Codgeo";"ZInter_fact80_40000"
"01001";"Reg_I6_6"
"01002";"Reg_I6_16"
"01004";"Reg_84_42"
"01005";"Reg_I6_6"
"01006";"Reg_84_42"
"01007";"Reg_I6_16"
"01008";"Reg_84_42"
"01009";"Reg_84_42"
"01010";"Reg_84_42"
"01011";"Reg_I6_16"
"01012";"Reg_I6_16"
"01013";"Reg_84_42"
"01014";"Reg_I6_15"
"01015";"Reg_84_42"
"01016";"Reg_I6_7"
"01017";"Reg_84_42"
"01019";"Reg_84_42"
"01021";"Reg_I6_6"
"01022";"Reg_84_42"
"01023";"Reg_I6_7"
"01024";"Reg_I6_7"
"01025";"Reg_I6_7"
"01026";"Reg_I6_7"
"01027";"Reg_I6_6"
"01028";"Reg_I6_6"
"01029";"Reg_I6_7"
"01030";"Reg_84_35"
"01031";"Reg_I6_15"
"01032";"Reg_I6_6"
"01033";"Reg_I6_3"
"01034";"Reg_84_42"
"01035";"Reg_I6_15"
"01036";"Reg_84_42"
"01037";"Reg_84_42"
"01038";"Reg_I6_7"
"01039";"Reg_84_42"
"01040";"Reg_I6_7"
"01041";"Reg_84_42"
"01042";"Reg_I6_6"
"01043";"Reg_84_37"
"01044";"Reg_84_42"
"01045";"Reg_I6_6"
"01046";"Reg_I6_7"
"01047";"Reg_84_42"
"01049";"Reg_84_37"
"01050";"Reg_I6_7"
"01051";"Reg_I6_7"
"01052";"Reg_I6_6"
"01053";"Reg_84_52"
"01054";"Reg_I6_6"
"01056";"Reg_I6_16"
"01057";"Reg_I6_7"
"01058";"Reg_84_42"
"01059";"Reg_84_42"
"01060";"Reg_I6_16"
"01061";"Reg_84_42"
"01062";"Reg_I6_6"
"01063";"Reg_I6_16"
"01064";"Reg_84_42"
"01065";"Reg_84_52"
"01066";"Reg_84_42"
"01067";"Reg_I6_16"
"01068";"Reg_I6_16"
"01069";"Reg_84_52"
"01071";"Reg_I6_9"
"01072";"Reg_I6_7"
"01073";"Reg_84_42"
"01074";"Reg_I6_7"
"01075";"Reg_I6_6"
"01076";"Reg_I6_16"
"01077";"Reg_I6_16"
"01078";"Reg_I6_3"
"01079";"Reg_84_42"
"01080";"Reg_I6_16"
"01081";"Reg_I6_15"
"01082";"Reg_84_42"
"01083";"Reg_I6_6"
"01084";"Reg_I6_6"
"01085";"Reg_I6_6"
"01087";"Reg_I6_16"
"01088";"Reg_84_37"
"01089";"Reg_I6_7"
"01090";"Reg_I6_7"
"01091";"Reg_I6_3"
"01092";"Reg_I6_7"
"01093";"Reg_I6_6"
"01094";"Reg_I6_7"
"01095";"Reg_I6_7"
"01096";"Reg_I6_7"
"01097";"Reg_84_42"
"01098";"Reg_84_42"
"01099";"Reg_84_42"
"01100";"Reg_84_42"
"01101";"Reg_I6_16"
"01102";"Reg_I6_7"
"01103";"Reg_I6_9"
"01104";"Reg_I6_15"
"01105";"Reg_I6_6"
"01106";"Reg_I6_7"
"01107";"Reg_84_42"
"01108";"Reg_I6_4"
"01109";"Reg_I6_3"
"01110";"Reg_84_42"
"01111";"Reg_84_42"
"01112";"Reg_I6_16"
"01113";"Reg_I6_6"
"01114";"Reg_I6_3"
"01115";"Reg_I6_7"
"01116";"Reg_84_42"
"01117";"Reg_84_42"
"01118";"Reg_84_42"
"01121";"Reg_I6_16"
"01122";"Reg_84_42"
"01123";"Reg_I6_6"
"01124";"Reg_I6_7"
"01125";"Reg_I6_7"
"01127";"Reg_I6_4"
"01128";"Reg_I6_7"
"01129";"Reg_I6_7"
"01130";"Reg_I6_7"
"01133";"Reg_84_42"
"01134";"Reg_I6_7"
"01135";"Reg_I6_9"
"01136";"Reg_I6_6"
"01138";"Reg_84_42"
"01139";"Reg_I6_4"
"01140";"Reg_I6_7"
"01141";"Reg_84_42"
"01142";"Reg_I6_6"
"01143";"Reg_I6_9"
"01144";"Reg_I6_7"
"01145";"Reg_I6_7"
"01146";"Reg_I6_8"
"01147";"Reg_I6_4"
"01148";"Reg_I6_15"
"01149";"Reg_I6_16"
"01150";"Reg_I6_7"
"01151";"Reg_I6_7"
"01152";"Reg_I6_15"
"01153";"Reg_I6_9"
"01154";"Reg_I6_7"
"01155";"Reg_I6_16"
"01156";"Reg_I6_6"
"01157";"Reg_I6_6"
"01158";"Reg_I6_15"
"01159";"Reg_I6_7"
"01160";"Reg_I6_9"
"01162";"Reg_84_42"
"01163";"Reg_I6_7"
"01165";"Reg_I6_6"
"01166";"Reg_I6_6"
"01167";"Reg_I6_6"
"01169";"Reg_I6_8"
"01170";"Reg_I6_16"
"01171";"Reg_I6_16"
"01172";"Reg_I6_7"
"01173";"Reg_I6_9"
"01174";"Reg_I6_16"
"01175";"Reg_I6_7"
"01177";"Reg_I6_7"
"01179";"Reg_I6_7"
"01180";"Reg_I6_9"
"01181";"Reg_I6_16"
"01183";"Reg_I6_8"
"01184";"Reg_I6_7"
"01185";"Reg_I6_16"
"01186";"Reg_84_42"
"01187";"Reg_I6_16"
"01188";"Reg_I6_6"
"01189";"Reg_84_42"
"01190";"Reg_84_42"
"01191";"Reg_I6_16"
"01192";"Reg_I6_16"
"01193";"Reg_84_42"
"01194";"Reg_84_35"
"01195";"Reg_I6_7"
"01196";"Reg_I6_7"
"01197";"Reg_I6_7"
"01198";"Reg_I6_6"
"01199";"Reg_I6_16"
"01200";"Reg_I6_16"
"01202";"Reg_84_42"
"01203";"Reg_I6_7"
"01204";"Reg_I6_16"
"01205";"Reg_I6_3"
"01206";"Reg_I6_16"
"01207";"Reg_I6_6"
"01208";"Reg_84_42"
"01209";"Reg_I6_3"
"01210";"Reg_I6_15"
"01211";"Reg_I6_7"
"01212";"Reg_I6_7"
"01213";"Reg_84_42"
"01214";"Reg_I6_16"
"01215";"Reg_84_42"
"01216";"Reg_84_42"
"01218";"Reg_84_42"
"01219";"Reg_84_42"
"01221";"Reg_84_42"
"01224";"Reg_84_42"
"01225";"Reg_I6_6"
"01227";"Reg_84_42"
"01228";"Reg_I6_16"
"01229";"Reg_I6_7"
"01230";"Reg_I6_7"
"01231";"Reg_I6_7"
"01232";"Reg_I6_7"
"01233";"Reg_84_42"
"01234";"Reg_84_42"
"01235";"Reg_I6_7"
"01236";"Reg_I6_7"
"01237";"Reg_I6_16"
"01238";"Reg_84_36"
"01239";"Reg_84_42"
"01240";"Reg_I6_16"
"01241";"Reg_I6_7"
"01242";"Reg_I6_16"
"01243";"Reg_I6_6"
"01244";"Reg_I6_6"
"01245";"Reg_I6_7"
"01246";"Reg_I6_7"
"01247";"Reg_I6_15"
"01248";"Reg_84_36"
"01249";"Reg_84_37"
"01250";"Reg_I6_6"
"01252";"Reg_I6_8"
"01254";"Reg_I6_7"
"01255";"Reg_84_42"
"01257";"Reg_I6_3"
"01258";"Reg_I6_6"
"01259";"Reg_84_52"
"01260";"Reg_I6_6"
"01261";"Reg_I6_6"
"01262";"Reg_I6_6"
"01263";"Reg_I6_6"
"01264";"Reg_I6_7"
"01265";"Reg_I6_16"
"01266";"Reg_I6_7"
"01267";"Reg_I6_16"
"01268";"Reg_84_42"
"01269";"Reg_I6_16"
"01272";"Reg_I6_6"
"01273";"Reg_I6_16"
"01274";"Reg_I6_16"
"01275";"Reg_84_37"
"01276";"Reg_84_37"
"01277";"Reg_I6_16"
"01279";"Reg_I6_16"
"01280";"Reg_84_42"
"01281";"Reg_I6_9"
"01282";"Reg_I6_16"
"01283";"Reg_I6_15"
"01284";"Reg_I6_7"
"01285";"Reg_84_36"
"01286";"Reg_84_42"
"01288";"Reg_I6_3"
"01289";"Reg_84_52"
"01290";"Reg_I6_6"
"01291";"Reg_I6_7"
"01293";"Reg_I6_16"
"01294";"Reg_84_42"
"01295";"Reg_I6_8"
"01296";"Reg_I6_4"
"01297";"Reg_I6_6"
"01298";"Reg_I6_15"
"01299";"Reg_I6_7"
"01301";"Reg_I6_7"
"01302";"Reg_84_42"
"01303";"Reg_I6_16"
"01304";"Reg_I6_16"
"01305";"Reg_I6_7"
"01306";"Reg_I6_7"
"01307";"Reg_I6_16"
"01308";"Reg_I6_3"
"01309";"Reg_I6_4"
"01310";"Reg_84_42"
"01311";"Reg_84_42"
"01313";"Reg_I6_9"
"01314";"Reg_I6_16"
"01316";"Reg_84_42"
"01317";"Reg_I6_7"
"01318";"Reg_I6_6"
"01319";"Reg_I6_6"
"01320";"Reg_I6_7"
"01321";"Reg_I6_7"
"01322";"Reg_84_36"
"01323";"Reg_I6_7"
"01325";"Reg_I6_6"
"01328";"Reg_I6_6"
"01329";"Reg_84_42"
"01330";"Reg_I6_16"
"01331";"Reg_I6_16"
"01332";"Reg_I6_7"
"01333";"Reg_84_36"
"01334";"Reg_I6_6"
"01335";"Reg_I6_6"
"01336";"Reg_I6_7"
"01337";"Reg_I6_7"
"01338";"Reg_84_42"
"01339";"Reg_84_36"
"01341";"Reg_84_42"
"01342";"Reg_I6_6"
"01343";"Reg_I6_7"
"01344";"Reg_84_52"
"01345";"Reg_84_42"
"01346";"Reg_I6_7"
"01347";"Reg_I6_6"
"01348";"Reg_I6_8"
"01349";"Reg_I6_6"
"01350";"Reg_I6_7"
"01351";"Reg_I6_8"
"01352";"Reg_I6_7"
"01353";"Reg_I6_6"
"01354";"Reg_I6_9"
"01355";"Reg_I6_7"
"01356";"Reg_I6_6"
"01357";"Reg_I6_16"
"01358";"Reg_84_42"
"01359";"Reg_I6_6"
"01360";"Reg_I6_3"
"01361";"Reg_84_37"
"01362";"Reg_I6_6"
"01363";"Reg_I6_16"
"01364";"Reg_I6_7"
"01365";"Reg_I6_7"
"01366";"Reg_84_42"
"01367";"Reg_I6_7"
"01368";"Reg_I6_7"
"01369";"Reg_I6_7"
"01370";"Reg_I6_2"
"01371";"Reg_I6_6"
"01372";"Reg_84_42"
"01373";"Reg_I6_16"
"01374";"Reg_I6_7"
"01375";"Reg_I6_7"
"01376";"Reg_84_37"
"01378";"Reg_84_37"
"01379";"Reg_84_42"
"01380";"Reg_I6_4"
"01381";"Reg_I6_7"
"01382";"Reg_I6_6"
"01383";"Reg_I6_7"
"01384";"Reg_84_42"
"01385";"Reg_I6_7"
"01386";"Reg_84_42"
"01387";"Reg_I6_7"
"01388";"Reg_I6_4"
"01389";"Reg_I6_6"
"01390";"Reg_84_42"
"01391";"Reg_I6_4"
"01392";"Reg_I6_16"
"01393";"Reg_I6_6"
"01396";"Reg_84_42"
"01397";"Reg_I6_9"
"01398";"Reg_I6_6"
"01399";"Reg_I6_9"
"01400";"Reg_84_42"
"01401";"Reg_I6_9"
"01402";"Reg_I6_4"
"01403";"Reg_84_42"
"01404";"Reg_I6_7"
"01405";"Reg_I6_7"
"01406";"Reg_I6_7"
"01407";"Reg_84_42"
"01408";"Reg_I6_7"
"01410";"Reg_I6_16"
"01411";"Reg_84_42"
"01412";"Reg_I6_6"
"01413";"Reg_84_42"
"01414";"Reg_84_42"
"01415";"Reg_84_42"
"01416";"Reg_84_42"
"01417";"Reg_84_42"
"01418";"Reg_84_37"
"01419";"Reg_I6_9"
"01420";"Reg_I6_8"
"01421";"Reg_84_42"
"01422";"Reg_I6_7"
"01423";"Reg_I6_6"
"01424";"Reg_84_37"
"01425";"Reg_I6_7"
"01426";"Reg_I6_7"
"01427";"Reg_84_36"
"01428";"Reg_I6_8"
"01429";"Reg_I6_7"
"01430";"Reg_I6_16"
"01431";"Reg_84_42"
"01432";"Reg_I6_4"
"01433";"Reg_I6_7"
"01434";"Reg_I6_6"
"01435";"Reg_I6_9"
"01436";"Reg_I6_9"
"01437";"Reg_I6_7"
"01439";"Reg_I6_7"
"01441";"Reg_I6_16"
"01442";"Reg_84_42"
"01443";"Reg_I6_7"
"01444";"Reg_84_42"
"01445";"Reg_I6_7"
"01446";"Reg_I6_6"
"01447";"Reg_I6_7"
"01448";"Reg_I6_3"
"01449";"Reg_I6_7"
"01450";"Reg_I6_7"
"01451";"Reg_I6_7"
"01452";"Reg_84_42"
"01453";"Reg_84_42"
"01454";"Reg_84_42"
"01456";"Reg_84_42"
"01457";"Reg_I6_7"
"02001";"Reg_32_18"
"02002";"Reg_32_22"
"02003";"Reg_32_18"
"02004";"Reg_I1_16"
"02005";"Reg_I1_31"
"02006";"Reg_I1_16"
"02007";"Reg_I1_57"
"02008";"Reg_I1_57"
"02009";"Reg_32_22"
"02010";"Reg_32_18"
"02011";"Reg_32_18"
"02012";"Reg_32_18"
"02013";"Reg_I1_16"
"02014";"Reg_32_18"
"02015";"Reg_32_18"
"02016";"Reg_32_22"
"02017";"Reg_32_22"
"02018";"Reg_I1_57"
"02019";"Reg_32_18"
"02020";"Reg_I1_16"
"02021";"Reg_I1_16"
"02022";"Reg_32_18"
"02023";"Reg_I1_47"
"02024";"Reg_I1_57"
"02025";"Reg_32_22"
"02027";"Reg_32_22"
"02028";"Reg_I1_57"
"02029";"Reg_32_22"
"02030";"Reg_32_22"
"02031";"Reg_I1_16"
"02032";"Reg_32_22"
"02033";"Reg_I1_57"
"02034";"Reg_32_18"
"02035";"Reg_I1_16"
"02036";"Reg_32_18"
"02037";"Reg_I1_57"
"02038";"Reg_I1_16"
"02039";"Reg_I1_16"
"02040";"Reg_I1_16"
"02041";"Reg_32_18"
"02042";"Reg_I1_4"
"02043";"Reg_32_18"
"02044";"Reg_I1_16"
"02046";"Reg_I1_57"
"02047";"Reg_I1_57"
"02048";"Reg_I1_57"
"02049";"Reg_32_22"
"02050";"Reg_32_22"
"02051";"Reg_I1_15"
"02052";"Reg_32_18"
"02053";"Reg_I1_15"
"02054";"Reg_I1_47"
"02055";"Reg_I1_16"
"02056";"Reg_32_18"
"02057";"Reg_32_22"
"02058";"Reg_I1_57"
"02059";"Reg_32_22"
"02060";"Reg_32_22"
"02061";"Reg_32_22"
"02062";"Reg_I1_4"
"02063";"Reg_32_22"
"02064";"Reg_32_14"
"02065";"Reg_32_22"
"02066";"Reg_32_22"
"02067";"Reg_32_22"
"02068";"Reg_I1_16"
"02069";"Reg_I1_16"
"02070";"Reg_I1_16"
"02071";"Reg_32_18"
"02072";"Reg_I1_57"
"02073";"Reg_I1_31"
"02074";"Reg_32_22"
"02075";"Reg_32_22"
"02076";"Reg_I1_31"
"02077";"Reg_32_18"
"02078";"Reg_32_18"
"02079";"Reg_I1_16"
"02080";"Reg_I1_57"
"02081";"Reg_32_18"
"02082";"Reg_32_18"
"02083";"Reg_I1_47"
"02084";"Reg_I1_4"
"02085";"Reg_I1_47"
"02086";"Reg_32_18"
"02087";"Reg_32_18"
"02088";"Reg_I1_57"
"02089";"Reg_32_18"
"02090";"Reg_32_18"
"02091";"Reg_I1_47"
"02093";"Reg_32_18"
"02094";"Reg_I1_47"
"02095";"Reg_32_22"
"02096";"Reg_I1_57"
"02097";"Reg_I1_16"
"02098";"Reg_I1_4"
"02099";"Reg_I1_4"
"02100";"Reg_32_22"
"02101";"Reg_I1_16"
"02102";"Reg_I1_57"
"02103";"Reg_32_26"
"02104";"Reg_I1_22"
"02105";"Reg_I1_4"
"02106";"Reg_I1_47"
"02107";"Reg_32_18"
"02108";"Reg_I1_57"
"02109";"Reg_32_26"
"02110";"Reg_I1_47"
"02111";"Reg_32_18"
"02112";"Reg_32_22"
"02114";"Reg_I1_47"
"02115";"Reg_I1_47"
