"Codgeo";"ZInter_fact20_50000"
"01001";"Reg_I7_10"
"01002";"Reg_I7_1"
"01004";"Reg_84_57"
"01005";"Reg_I7_10"
"01006";"Reg_84_57"
"01007";"Reg_84_81"
"01008";"Reg_84_57"
"01009";"Reg_84_1"
"01010";"Reg_84_53"
"01011";"Reg_I7_1"
"01012";"Reg_I7_1"
"01013";"Reg_84_57"
"01014";"Reg_I7_1"
"01015";"Reg_84_1"
"01016";"Reg_I7_7"
"01017";"Reg_84_57"
"01019";"Reg_84_1"
"01021";"Reg_I7_10"
"01022";"Reg_84_1"
"01023";"Reg_I7_7"
"01024";"Reg_I7_7"
"01025";"Reg_I7_7"
"01026";"Reg_I7_7"
"01027";"Reg_I7_10"
"01028";"Reg_I7_10"
"01029";"Reg_I7_7"
"01030";"Reg_84_34"
"01031";"Reg_I7_1"
"01032";"Reg_I7_10"
"01033";"Reg_I7_3"
"01034";"Reg_84_1"
"01035";"Reg_I7_1"
"01036";"Reg_84_1"
"01037";"Reg_84_57"
"01038";"Reg_I7_7"
"01039";"Reg_84_1"
"01040";"Reg_I7_7"
"01041";"Reg_84_57"
"01042";"Reg_I7_10"
"01043";"Reg_84_77"
"01044";"Reg_84_53"
"01045";"Reg_I7_10"
"01046";"Reg_I7_7"
"01047";"Reg_84_57"
"01049";"Reg_84_77"
"01050";"Reg_I7_7"
"01051";"Reg_84_81"
"01052";"Reg_I7_10"
"01053";"Reg_84_48"
"01054";"Reg_I7_10"
"01056";"Reg_I7_1"
"01057";"Reg_I7_7"
"01058";"Reg_84_1"
"01059";"Reg_84_53"
"01060";"Reg_I7_1"
"01061";"Reg_84_1"
"01062";"Reg_I7_10"
"01063";"Reg_I7_1"
"01064";"Reg_84_57"
"01065";"Reg_84_48"
"01066";"Reg_84_1"
"01067";"Reg_I7_1"
"01068";"Reg_I7_1"
"01069";"Reg_84_48"
"01071";"Reg_I7_6"
"01072";"Reg_I7_7"
"01073";"Reg_84_1"
"01074";"Reg_84_81"
"01075";"Reg_I7_10"
"01076";"Reg_I7_1"
"01077";"Reg_I7_1"
"01078";"Reg_I7_3"
"01079";"Reg_84_1"
"01080";"Reg_I7_1"
"01081";"Reg_I7_1"
"01082";"Reg_84_53"
"01083";"Reg_I7_10"
"01084";"Reg_I7_10"
"01085";"Reg_I7_10"
"01087";"Reg_I7_1"
"01088";"Reg_84_77"
"01089";"Reg_84_81"
"01090";"Reg_84_81"
"01091";"Reg_I7_3"
"01092";"Reg_84_81"
"01093";"Reg_I7_10"
"01094";"Reg_I7_7"
"01095";"Reg_I7_7"
"01096";"Reg_84_81"
"01097";"Reg_84_1"
"01098";"Reg_84_1"
"01099";"Reg_84_57"
"01100";"Reg_84_1"
"01101";"Reg_I7_1"
"01102";"Reg_I7_7"
"01103";"Reg_I7_6"
"01104";"Reg_I7_1"
"01105";"Reg_I7_10"
"01106";"Reg_84_81"
"01107";"Reg_84_57"
