"Codgeo";"ZInter_fact60_40000"
"01001";"Reg_I6_6"
"01002";"Reg_I6_15"
"01004";"Reg_84_55"
"01005";"Reg_I6_19"
"01006";"Reg_84_1"
"01007";"Reg_I6_15"
"01008";"Reg_84_1"
"01009";"Reg_84_1"
"01010";"Reg_84_56"
"01011";"Reg_I6_15"
"01012";"Reg_I6_15"
"01013";"Reg_84_1"
"01014";"Reg_I6_14"
"01015";"Reg_84_1"
"01016";"Reg_I6_7"
"01017";"Reg_84_1"
"01019";"Reg_84_1"
"01021";"Reg_I6_6"
"01022";"Reg_84_1"
"01023";"Reg_I6_7"
"01024";"Reg_I6_20"
"01025";"Reg_I6_7"
"01026";"Reg_I6_7"
"01027";"Reg_I6_19"
"01028";"Reg_I6_6"
"01029";"Reg_I6_20"
"01030";"Reg_84_35"
"01031";"Reg_I6_14"
"01032";"Reg_I6_19"
"01033";"Reg_I6_3"
"01034";"Reg_84_1"
"01035";"Reg_I6_14"
"01036";"Reg_84_1"
"01037";"Reg_84_1"
"01038";"Reg_I6_20"
"01039";"Reg_84_1"
"01040";"Reg_I6_7"
"01041";"Reg_84_1"
"01042";"Reg_I6_6"
"01043";"Reg_84_37"
"01044";"Reg_84_56"
"01045";"Reg_I6_19"
"01046";"Reg_I6_7"
"01047";"Reg_84_55"
"01049";"Reg_84_37"
"01050";"Reg_I6_7"
"01051";"Reg_I6_21"
"01052";"Reg_I6_6"
"01053";"Reg_84_52"
"01054";"Reg_I6_19"
"01056";"Reg_I6_15"
"01057";"Reg_I6_7"
"01058";"Reg_84_1"
"01059";"Reg_84_56"
"01060";"Reg_I6_15"
"01061";"Reg_84_1"
"01062";"Reg_I6_19"
"01063";"Reg_I6_15"
"01064";"Reg_84_1"
"01065";"Reg_84_52"
"01066";"Reg_84_1"
"01067";"Reg_I6_15"
"01068";"Reg_I6_15"
"01069";"Reg_84_52"
"01071";"Reg_I6_9"
"01072";"Reg_I6_20"
"01073";"Reg_84_1"
"01074";"Reg_I6_21"
"01075";"Reg_I6_6"
"01076";"Reg_I6_15"
"01077";"Reg_I6_15"
"01078";"Reg_I6_3"
"01079";"Reg_84_1"
"01080";"Reg_I6_15"
"01081";"Reg_I6_14"
"01082";"Reg_84_56"
"01083";"Reg_I6_6"
"01084";"Reg_I6_6"
