"Codgeo";"ZInter_fact70_40000"
"01242";"Reg_I6_15"
"01243";"Reg_I6_6"
"01244";"Reg_I6_19"
"01245";"Reg_I6_20"
"01246";"Reg_I6_20"
"01247";"Reg_I6_3"
"01248";"Reg_84_36"
"01249";"Reg_84_37"
"01250";"Reg_I6_6"
"01252";"Reg_I6_8"
"01254";"Reg_I6_20"
"01255";"Reg_84_11"
"01257";"Reg_I6_1"
"01258";"Reg_I6_6"
"01259";"Reg_84_52"
"01260";"Reg_I6_19"
"01261";"Reg_I6_19"
"01262";"Reg_I6_19"
"01263";"Reg_I6_6"
"01264";"Reg_I6_20"
"01265";"Reg_I6_15"
"01266";"Reg_I6_20"
"01267";"Reg_I6_15"
"01268";"Reg_84_11"
"01269";"Reg_I6_15"
"01272";"Reg_I6_6"
"01273";"Reg_I6_15"
"01274";"Reg_I6_15"
"01275";"Reg_84_37"
"01276";"Reg_84_37"
"01277";"Reg_I6_15"
"01279";"Reg_I6_15"
"01280";"Reg_84_11"
"01281";"Reg_I6_9"
"01282";"Reg_I6_15"
"01283";"Reg_I6_3"
"01284";"Reg_I6_4"
"01285";"Reg_84_36"
"01286";"Reg_84_11"
"01288";"Reg_I6_1"
"01289";"Reg_84_52"
"01290";"Reg_I6_19"
"01291";"Reg_I6_4"
"01293";"Reg_I6_15"
"01294";"Reg_84_11"
"01295";"Reg_I6_8"
"01296";"Reg_I6_14"
"01297";"Reg_I6_19"
"01298";"Reg_I6_3"
"01299";"Reg_I6_20"
"01301";"Reg_I6_20"
"01302";"Reg_84_11"
"01303";"Reg_I6_15"
"01304";"Reg_I6_15"
"01305";"Reg_I6_4"
"01306";"Reg_I6_4"
"01307";"Reg_I6_15"
"01308";"Reg_I6_1"
"01309";"Reg_I6_14"
"01310";"Reg_84_11"
"01311";"Reg_84_11"
"01313";"Reg_I6_9"
"01314";"Reg_I6_15"
"01316";"Reg_84_11"
"01317";"Reg_I6_20"
"01318";"Reg_I6_19"
"01319";"Reg_I6_6"
"01320";"Reg_I6_4"
"01321";"Reg_I6_20"
"01322";"Reg_84_36"
"01323";"Reg_I6_4"
"01325";"Reg_I6_19"
"01328";"Reg_I6_6"
"01329";"Reg_84_11"
"01330";"Reg_I6_15"
"01331";"Reg_I6_15"
"01332";"Reg_I6_4"
"01333";"Reg_84_36"
"01334";"Reg_I6_6"
"01335";"Reg_I6_6"
"01336";"Reg_I6_20"
"01337";"Reg_I6_4"
"01338";"Reg_84_11"
"01339";"Reg_84_36"
"01341";"Reg_84_11"
"01342";"Reg_I6_19"
"01343";"Reg_I6_4"
"01344";"Reg_84_52"
"01345";"Reg_84_55"
"01346";"Reg_I6_20"
"01347";"Reg_I6_6"
"01348";"Reg_I6_8"
"01349";"Reg_I6_19"
"01350";"Reg_I6_20"
"01351";"Reg_I6_8"
"01352";"Reg_I6_4"
"01353";"Reg_I6_6"
"01354";"Reg_I6_9"
"01355";"Reg_I6_20"
"01356";"Reg_I6_6"
"01357";"Reg_I6_15"
"01358";"Reg_84_11"
"01359";"Reg_I6_6"
"01360";"Reg_I6_1"
